"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3336","Try LogIn and verify the message ","","Thu May 08 17:45:57 BDT 2025","passed","Thu May 08 17:46:00 BDT 2025","","SauceDemo site Automation journey","",""
"","9708"," Successfully  Order and Logout   ","","Sat May 10 13:04:41 BDT 2025","passed","Sat May 10 13:04:50 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","3091"," Successfully  Verify Product Name and Total price   ","","Sat May 10 13:05:20 BDT 2025","passed","Sat May 10 13:05:23 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","3279"," Successfully  CheckOut page   ","","Sat May 10 13:04:25 BDT 2025","passed","Sat May 10 13:04:29 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","17835"," Successfully  Reset App State and Sort    ","","Sat May 10 13:04:59 BDT 2025","passed","Sat May 10 13:05:16 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","32168"," LogIn and Product Purchase ","","Thu May 08 17:45:58 BDT 2025","passed","Thu May 08 17:46:30 BDT 2025","","SauceDemo site Automation journey","",""
"","12248"," Successfully  Verify Product Name and Total price   ","","Sat May 10 13:04:29 BDT 2025","passed","Sat May 10 13:04:41 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","3166"," Successfully  Add to Cart Product   ","","Sat May 10 13:04:22 BDT 2025","passed","Sat May 10 13:04:25 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","8165"," Successfully  LogIn ","","Sat May 10 13:04:50 BDT 2025","passed","Sat May 10 13:04:59 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","34592"," LogIn and Product Purchase ","","Sat May 10 12:25:42 BDT 2025","passed","Sat May 10 12:26:16 BDT 2025","","SauceDemo site Automation journey","",""
"","42041"," LogIn and Product Purchase1 ","","Thu May 08 17:45:57 BDT 2025","passed","Thu May 08 17:46:39 BDT 2025","","SauceDemo site Automation journey","",""
"","698"," Successfully  Reset App State   ","","Sat May 10 13:04:21 BDT 2025","passed","Sat May 10 13:04:22 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","3205"," Successfully  LogIn   ","","Sat May 10 13:04:18 BDT 2025","passed","Sat May 10 13:04:21 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","290"," Successfully  CheckOut page   ","","Sat May 10 13:05:20 BDT 2025","passed","Sat May 10 13:05:20 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","9713"," Successfully  Order and Logout   ","","Sat May 10 13:05:23 BDT 2025","passed","Sat May 10 13:05:33 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","3090"," Successfully  Add to Cart Product   ","","Sat May 10 13:05:16 BDT 2025","passed","Sat May 10 13:05:20 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","35540"," LogIn and Product Purchase1 ","","Sat May 10 12:26:16 BDT 2025","passed","Sat May 10 12:26:52 BDT 2025","","SauceDemo site Automation journey","",""
"","3234","Try LogIn and verify the message ","","Sat May 10 13:04:15 BDT 2025","passed","Sat May 10 13:04:18 BDT 2025","","SauceDemo site Automation journey","",""
